query,execution_time_s,puissance_moyenne_W,energy_consumed_J
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1518,79.918,7.9918
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1501,109.461,10.9461
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.154,81.727,8.1727
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1498,79.897,7.9897
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1522,82.802,8.2802
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1506,92.078,9.2078
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1527,84.071,8.4071
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1511,104.14,10.414
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1516,91.395,9.1395
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.15,91.273,9.1273
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1498,91.66,9.166
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.151,103.535,10.3535
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1511,108.967,10.8967
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.152,83.141,8.3141
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1497,86.265,8.6265
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.15,82.954,8.2954
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1535,107.261,10.7261
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.152,112.115,11.2115
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1509,104.889,10.4889
